input,time_complexity,space_complexity
"# Define Node class
classNode:
    def__init__(self):
        self.data =0
        self.prev =None
        self.next=None

# Define function to reverse the doubly linked list


defreverse(head_ref):
    current =head_ref
    temp =None

    whilecurrent !=None:
        temp =current.prev
        current.prev =current.next
        current.next=temp
        current =current.prev

    iftemp !=None:
        head_ref =temp.prev

    returnhead_ref

# Define function to print the doubly linked list


defprintList(node):
    whilenode !=None:
        print(node.data, end="" "")
        node =node.next


# Create nodes
head =Node()
second =Node()
third =Node()

# Link nodes
head.data =1
head.prev =None
head.next=second

second.data =2
second.prev =head
second.next=third

third.data =3
third.prev =second
third.next=None

# Print original list
print(""Original List: "", end="""")
printList(head)

# Reverse the list
head =reverse(head)

# Print the reversed list
print(""\nReversed List: "", end="""")
printList(head)
",O(n),O(n)
"# Python program to reverse a
# stack using recursion

# Below is a recursive function
# that inserts an element
# at the bottom of a stack.


definsertAtBottom(stack, item):
    ifisEmpty(stack):
        push(stack, item)
    else:
        temp =pop(stack)
        insertAtBottom(stack, item)
        push(stack, temp)

# Below is the function that
# reverses the given stack
# using insertAtBottom()


defreverse(stack):
    ifnotisEmpty(stack):
        temp =pop(stack)
        reverse(stack)
        insertAtBottom(stack, temp)

# Below is a complete running
# program for testing above
# functions.

# Function to create a stack.
# It initializes size of stack
# as 0


defcreateStack():
    stack =[]
    returnstack

# Function to check if
# the stack is empty


defisEmpty(stack):
    returnlen(stack) ==0

# Function to push an
# item to stack


defpush(stack, item):
    stack.append(item)

# Function to pop an
# item from stack


defpop(stack):

    # If stack is empty
    # then error
    if(isEmpty(stack)):
        print(""Stack Underflow "")
        exit(1)

    returnstack.pop()

# Function to print the stack


defprints(stack):
    fori inrange(len(stack)-1, -1, -1):
        print(stack[i], end=' ')
    print()

# Driver Code


stack =createStack()
push(stack, str(4))
push(stack, str(3))
push(stack, str(2))
push(stack, str(1))
print(""Original Stack "")
prints(stack)

reverse(stack)

print(""Reversed Stack "")
prints(stack)

# This code is contributed by Sunny Karira
",O(N2),O(N)
"# Python3 code to 
# rotate bits of number

INT_BITS =32

# Function to left
# rotate n by d bits
defleftRotate(n, d):

    # In n<<d, last d bits are 0.
    # To put first 3 bits of n at 
    # last, do bitwise or of n<<d
    # with n >>(INT_BITS - d) 
    return(n << d)|(n >> (INT_BITS -d))

# Function to right
# rotate n by d bits
defrightRotate(n, d):

    # In n>>d, first d bits are 0.
    # To put last 3 bits of at 
    # first, do bitwise or of n>>d
    # with n <<(INT_BITS - d) 
    return(n >> d)|(n << (INT_BITS -d)) & 0xFFFFFFFF

# Driver program to
# test above functions 
n =16
d =2

print(""Left Rotation of"",n,""by""
      ,d,""is"",end="" "")
print(leftRotate(n, d))

print(""Right Rotation of"",n,""by""
     ,d,""is"",end="" "")
print(rightRotate(n, d))

# This code is contributed by
# Smitha Dinesh Semwal
",O(1),O(1)
"SHORT_SIZE =16

# function to rotate the given unsigned short
# in the left direction
defleftRotate(x, d):

    return(x << d) | (x >> (SHORT_SIZE -d))

  # function to rotate the given unsigned short
# in the right direction
defrightRotate(x, d):

    return(x >> d) | (x << (SHORT_SIZE -d)) & 0xDDDDDF

# Driver program to test above functions
# Test case
n =28
d =2

print(""Left Rotation of"",n,""by""
      ,d,""is"",end="" "")
print(leftRotate(n, d))

print(""Right Rotation of"",n,""by""
     ,d,""is"",end="" "")
print(rightRotate(n, d))

# This code is contributed by shivanisinghss2110
",O(1),O(1)
"# Python Program to search an element
# in a sorted and pivoted array

# Searches an element key in a pivoted
# sorted array arrp[] of size n
defpivotedBinarySearch(arr, n, key):

    pivot =findPivot(arr, 0, n-1)

    # If we didn't find a pivot,
    # then array is not rotated at all
    ifpivot ==-1:
        returnbinarySearch(arr, 0, n-1, key)

    # If we found a pivot, then first
    # compare with pivot and then
    # search in two subarrays around pivot
    ifarr[pivot] ==key:
        returnpivot
    ifarr[0] <=key:
        returnbinarySearch(arr, 0, pivot-1, key)
    returnbinarySearch(arr, pivot +1, n-1, key)


# Function to get pivot. For array
# 3, 4, 5, 6, 1, 2 it returns 3
# (index of 6)
deffindPivot(arr, low, high):

    # base cases
    ifhigh < low:
        return-1
    ifhigh ==low:
        returnlow

    # low + (high - low)/2;
    mid =int((low +high)/2)

    ifmid < high andarr[mid] > arr[mid +1]:
        returnmid
    ifmid > low andarr[mid] < arr[mid -1]:
        return(mid-1)
    ifarr[low] >=arr[mid]:
        returnfindPivot(arr, low, mid-1)
    returnfindPivot(arr, mid +1, high)

# Standard Binary Search function
defbinarySearch(arr, low, high, key):

    ifhigh < low:
        return-1

    # low + (high - low)/2;
    mid =int((low +high)/2)

    ifkey ==arr[mid]:
        returnmid
    ifkey > arr[mid]:
        returnbinarySearch(arr, (mid +1), high,
                            key)
    returnbinarySearch(arr, low, (mid -1), key)


# Driver program to check above functions
# Let us search 3 in below array
if__name__ =='__main__':
    arr1 =[5, 6, 7, 8, 9, 10, 1, 2, 3]
    n =len(arr1)
    key =3
    print(""Index of the element is : "", \
          pivotedBinarySearch(arr1, n, key))

# This is contributed by Smitha Dinesh Semwal
",O(log N),O(1)
"# Search an element in sorted and rotated array using
# single pass of Binary Search

# Returns index of key in arr[l..h] if key is present,
# otherwise returns -1
defsearch(arr, l, h, key):
    ifl > h:
        return-1

    mid =(l +h) //2
    ifarr[mid] ==key:
        returnmid

    # If arr[l...mid] is sorted
    ifarr[l] <=arr[mid]:

        # As this subarray is sorted, we can quickly
        # check if key lies in half or other half
        ifkey >=arr[l] andkey <=arr[mid]:
            returnsearch(arr, l, mid-1, key)
        returnsearch(arr, mid +1, h, key)

    # If arr[l..mid] is not sorted, then arr[mid... r]
    # must be sorted
    ifkey >=arr[mid] andkey <=arr[h]:
        returnsearch(arr, mid +1, h, key)
    returnsearch(arr, l, mid-1, key)


# Driver program
if__name__ =='__main__':
    arr =[4, 5, 6, 7, 8, 9, 1, 2, 3]
    key =3
    i =search(arr, 0, len(arr)-1, key)
    ifi !=-1:
        print(""Index: % d""%i)
    else:
        print(""Key not found"")

# This code is contributed by Shreyanshi Arun
",O(log N),O(1)
"defsearch_rotated_array(arr, key):
    n =len(arr)
    fori inrange(n):
        ifarr[i] ==key:
            returni
    return-1

arr =[5, 6, 7, 8, 9, 10, 1, 2, 3]
key =3
index =search_rotated_array(arr, key)
ifindex !=-1:
    print(f""Found at index {index}"")
else:
    print(""Not found"")
",O(n),O(1)
"# A Python program to demonstrate operations of KD tree
importsys

# Number of dimensions
k =2

# A structure to represent node of kd tree
classNode:
    def__init__(self, point):
        self.point =point
        self.left =None
        self.right =None

# A method to create a node of K D tree
defnewNode(point):
    returnNode(point)

# Inserts a new node and returns root of modified tree
# The parameter depth is used to decide axis of comparison
definsertRec(root, point, depth):
    # Tree is empty?
    ifnotroot:
        returnnewNode(point)

    # Calculate current dimension (cd) of comparison
    cd =depth %k

    # Compare the new point with root on current dimension 'cd'
    # and decide the left or right subtree
    ifpoint[cd] < root.point[cd]:
        root.left =insertRec(root.left, point, depth +1)
    else:
        root.right =insertRec(root.right, point, depth +1)

    returnroot

# Function to insert a new point with given point in
# KD Tree and return new root. It mainly uses above recursive
# function ""insertRec()""
definsert(root, point):
    returninsertRec(root, point, 0)

# A utility method to determine if two Points are same
# in K Dimensional space
defarePointsSame(point1, point2):
    # Compare individual coordinate values
    fori inrange(k):
        ifpoint1[i] !=point2[i]:
            returnFalse

    returnTrue

# Searches a Point represented by ""point[]"" in the K D tree.
# The parameter depth is used to determine current axis.
defsearchRec(root, point, depth):
    # Base cases
    ifnotroot:
        returnFalse
    ifarePointsSame(root.point, point):
        returnTrue

    # Current dimension is computed using current depth and total
    # dimensions (k)
    cd =depth %k

    # Compare point with root with respect to cd (Current dimension)
    ifpoint[cd] < root.point[cd]:
        returnsearchRec(root.left, point, depth +1)

    returnsearchRec(root.right, point, depth +1)

# Searches a Point in the K D tree. It mainly uses
# searchRec()
defsearch(root, point):
    # Pass current depth as 0
    returnsearchRec(root, point, 0)

# Driver program to test above functions
if__name__ =='__main__':
    root =None
    points =[[3, 6], [17, 15], [13, 15], [6, 12], [9, 1], [2, 7], [10, 19]]

    n =len(points)

    fori inrange(n):
        root =insert(root, points[i])

    point1 =[10, 19]
    ifsearch(root, point1):
        print(""Found"")
    else:
        print(""Not Found"")

    point2 =[12, 19]
    ifsearch(root, point2):
        print(""Found"")
    else:
        print(""Not Found"")
        
# This code is contributed by Prajwal Kandekar
",O(n),O(n)
"# Python program to search an element in row-wise
# and column-wise sorted matrix

# Searches the element x in mat[][]. If the
# element is found, then prints its position
# and returns true, otherwise prints ""not found""
# and returns false


defsearch(mat, n, x):
    if(n ==0):
        return-1

    # Traverse through the matrix
    fori inrange(n):
        forj inrange(n):

            # If the element is found
            if(mat[i][j] ==x):
                print(""Element found at ("", i, "","", j, "")"")
                return1

    print("" Element not found"")
    return0


# Driver code
if__name__ ==""__main__"":
    mat =[[10, 20, 30, 40], [15, 25, 35, 45],
           [27, 29, 37, 48], [32, 33, 39, 50]]

    # Function call
    search(mat, 4, 29)

# This code is contributed by rag2127
",O(N2),O(1)
"# Python3 program to search an element
# in row-wise and column-wise sorted matrix

# Searches the element x in mat[][]. If the
# element is found, then prints its position
# and returns true, otherwise prints ""not found""
# and returns false


defsearch(mat, n, x):

    i =0

    # set indexes for top right element
    j =n -1
    while(i < n andj >=0):

        if(mat[i][j] ==x):

            print(""Element found at "", i, "", "", j)
            return1

        if(mat[i][j] > x):
            j -=1

        # if mat[i][j] < x
        else:
            i +=1

    print(""Element not found"")
    return0# if (i == n || j == -1 )


# Driver Code
if__name__ ==""__main__"":
    mat =[[10, 20, 30, 40],
           [15, 25, 35, 45],
           [27, 29, 37, 48],
           [32, 33, 39, 50]]

    # Function call
    search(mat, 4, 29)

# This code is contributed by Anant Agarwal.
",O(M + N),O(M + N)
"defsearch_element(mat, x):
    fori inrange(len(mat)):
        forj inrange(len(mat[0])):
            ifmat[i][j] ==x:
                returnf""Found at ({i}, {j})""
    return""Element not found""
        
mat =[
    [10, 20, 30, 40],
    [15, 25, 35, 45],
    [27, 29, 37, 48],
    [32, 33, 39, 50]
]

x =29
print(search_element(mat, x))  # Output: Found at (2, 1)

x =100
print(search_element(mat, x))  # Output: Element not found
",O(n^2),O(1)
"# python 3  program to implement 
# binary search in sorted array 
 
 
defbinarySearch(arr, low, high, key): 
 
    mid =(low +high)/2
 
    if(key ==arr[int(mid)]): 
        returnmid 
 
    if(key > arr[int(mid)]): 
        returnbinarySearch(arr, 
                            (mid +1), high, key) 
 
    if(key < arr[int(mid)]): 
        returnbinarySearch(arr, low, (mid-1), key) 
 
    return0
 
 
# Driver code 
if__name__ ==""__main__"": 
    # Let us search 3 in below array 
    arr =[5, 6, 7, 8, 9, 10] 
    n =len(arr) 
    key =10
 
    # Function call 
    print(""Index:"", int(binarySearch(arr, 0, n-1, key))) 
 
# This code is contributed by 
# Smitha Dinesh Semwal 
",O(log(n)),O(log(n))
"# Python3 program to implement insert 
# operation in an sorted array. 
 
# Inserts a key in arr[] of given capacity. 
# n is current size of arr[]. This function 
# returns n+1 if insertion is successful, else n. 
 
 
definsertSorted(arr, n, key, capacity): 
 
    # Cannot insert more elements if n is 
    # already more than or equal to capacity 
    if(n >=capacity): 
        returnn 
 
    i =n -1
    whilei >=0andarr[i] > key: 
        arr[i +1] =arr[i] 
        i -=1
 
    arr[i +1] =key 
 
    return(n +1) 
 
 
# Driver Code 
if__name__ ==""__main__"": 
    arr =[12, 16, 20, 40, 50, 70] 
 
    fori inrange(20): 
        arr.append(0) 
 
    capacity =len(arr) 
    n =6
    key =26
 
    print(""Before Insertion: "", end="" "") 
    fori inrange(n): 
        print(arr[i], end="" "") 
 
    # Function call 
    n =insertSorted(arr, n, key, capacity) 
 
    print(""\nAfter Insertion: "", end="""") 
    fori inrange(n): 
        print(arr[i], end="" "") 
 
# This code is contributed by Mohit Kumar 
",O(N),O(1)
"# Python program to implement delete operation in a 
# sorted array 
 
# /* Function to delete an element */ 
 
 
defdeleteElement(arr, n, key): 
 
    # Find position of element to be deleted 
    pos =binarySearch(arr, 0, n -1, key) 
 
    if(pos ==-1): 
        print(""Element not found"") 
        returnn 
 
    # Deleting element 
    fori inrange(pos, n -1): 
        arr[i] =arr[i +1] 
 
    returnn -1
 
# To search a key to be deleted 
 
 
defbinarySearch(arr, low, high, key): 
 
    if(high < low): 
        return-1
    mid =(low +high) //2
 
    if(key ==arr[mid]): 
        returnmid 
    if(key > arr[mid]): 
        returnbinarySearch(arr, (mid +1), high, key) 
 
    returnbinarySearch(arr, low, (mid -1), key) 
 
 
# Driver code 
if__name__ ==""__main__"": 
    arr =[10, 20, 30, 40, 50] 
 
    n =len(arr) 
    key =30
 
    print(""Array before deletion"") 
 
    fori inrange(n): 
        print(arr[i], end="" "") 
 
    # Function call 
    n =deleteElement(arr, n, key) 
    print(""\n\nArray after deletion"") 
    fori inrange(n): 
        print(arr[i], end="" "") 
 
# This code is contributed by shubhamsingh10 
",O(N),O(log N)
"# Python program for searching in
# unsorted array


deffindElement(arr, n, key):
    fori inrange(n):
        if(arr[i] ==key):
            returni
          
    # If the key is not found
    return-1


# Driver's code
if__name__ =='__main__':
    arr =[12, 34, 10, 6, 40]
    key =40
    n =len(arr)

    # search operation
    index =findElement(arr, n, key)
    ifindex !=-1:
        print(""Element Found at position: ""+str(index +1))
    else:
        print(""Element not found"")

    # Thanks to Aditi Sharma for contributing
    # this code
",O(N),O(1)
"# Python program for inserting
# an element in an unsorted array

# method to insert element


definsert(arr, element):
    arr.append(element)


# Driver's code
if__name__ =='__main__':
    # declaring array and key to insert
    arr =[12, 16, 20, 40, 50, 70]
    key =26

    # array before inserting an element
    print(""Before Inserting: "")
    print(arr)

    # array after Inserting element
    insert(arr, key)
    print(""After Inserting: "")
    print(arr)

    # Thanks to Aditi Sharma for contributing
    # this code
",O(1),O(1)
"# python Program to Insert an element
# at a specific position in an Array
definsertElement(arr, n, x, pos) :
    
    # shift elements to the right
    # which are on the right side of pos
    fori inrange(n-1,pos-1,-1) :
        arr[i +1] =arr[i]
        
    arr[pos] =x

# Driver's code
if__name__ =='__main__':
    # Declaring array and key to delete
    # here -1 is for empty space
    arr =[2, 4, 1, 8, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
    n =5
    
    print(""Before insertion : "")
    fori inrange(0,n) :
        print(arr[i],end=' ')

    print(""\n"")

    x =10;
    pos =2;
  
    # Function call
    insertElement(arr, n, x, pos);
    n+=1

    print(""After insertion : "")
    fori inrange(0,n) :
        print(arr[i],end=' ')
        
 #This Code is contributed by aditya942003patil
",O(N),O(1)
"# Python program to delete an element
# from an unsorted array

# Driver's code
if__name__ =='__main__':
    # Declaring array and key to delete
    arr =[10, 50, 30, 40, 20]
    key =30
 
    print(""Array before deletion:"")
    print(arr)
 
    # deletes key if found in the array 
    # otherwise shows error not in list
    arr.remove(key)
    print(""Array after deletion"")
    print(arr)
 
    # This code is contributed by Aditi Sharma. 
",O(N),O(1)
"classNode: 
    # constructor for Node class
    def__init__(self, key): 
        self.key =key
        self.left =None
        self.right =None

defnewNode(key):
    # create a new node
    node =Node(key)
    returnnode
  
defrightRotate(x): 
    # rotate the tree to the right
    y =x.left
    x.left =y.right
    y.right =x
    returny
  
defleftRotate(x):
    # rotate the tree to the left
    y =x.right
    x.right =y.left
    y.left =x
    returny
  
defsplay(root, key):
    # perform the splay operation
    ifroot isNoneorroot.key ==key: 
        returnroot
    ifroot.key > key: 
        ifroot.left isNone: 
            returnroot
        ifroot.left.key > key: 
            root.left.left =splay(root.left.left, key) 
            root =rightRotate(root) 
        elifroot.left.key < key: 
            root.left.right =splay(root.left.right, key) 
            ifroot.left.right: 
                root.left =leftRotate(root.left) 
        return(root.left isNone) androot orrightRotate(root) 
    else: 
        ifroot.right isNone: 
            returnroot
        ifroot.right.key > key: 
            root.right.left =splay(root.right.left, key) 
            ifroot.right.left: 
                root.right =rightRotate(root.right) 
        elifroot.right.key < key: 
            root.right.right =splay(root.right.right, key) 
            root =leftRotate(root) 
        return(root.right isNone) androot orleftRotate(root)

defsearch(root, key):
    # search for a key in the tree
    returnsplay(root, key) 

definsert(root, key):
    # insert a new key in the tree
    ifroot isNone: 
        returnnewNode(key) 
    root =splay(root, key) 
    ifroot.key ==key: 
        returnroot 
    ifroot.key > key: 
        new_node =newNode(key) 
        new_node.right =root 
        new_node.left =root.left 
        root.left =None
        returnnew_node 
    else: 
        new_node =newNode(key) 
        new_node.left =root 
        new_node.right =root.right 
        root.right =None
        returnnew_node 

defdelete(root, key): 
    # delete a key from the tree
    ifroot isNone: 
        returnroot 
    root =splay(root, key) 
    ifroot.key !=key: 
        returnroot 
    ifroot.left isNone: 
        new_root =root.right 
    else: 
        new_root =splay(root.left, key) 
        new_root.right =root.right 
    returnnew_root 

defpreOrder(root):
    # perform pre-order traversal of the tree
    ifroot: 
        print(root.key, end =' ') 
        preOrder(root.left) 
        preOrder(root.right) 
#Driver Code
if__name__ =='__main__':
    root =newNode(100) 
    root.left =newNode(50) 
    root.right =newNode(200) 
    root.left.left =newNode(40) 
    root.left.left.left =newNode(30) 
    root.left.left.left.left =newNode(20) 
  
    root =splay(root, 20) 
    print(""Preorder traversal of the modified Splay tree is"") 
    preOrder(root)
# This code is contributed by Vikram_Shirsat
",O(log n),O(n log n)
"# Python3 program for range minimum  
# query using segment tree  
importsys; 
frommath importceil,log2; 
 
INT_MAX =sys.maxsize; 
 
# A utility function to get  
# minimum of two numbers  
defminVal(x, y) : 
    returnx if(x < y) elsey;  
 
# A utility function to get the  
# middle index from corner indexes.  
defgetMid(s, e) : 
    returns +(e -s) //2;  
 
"""""" A recursive function to get the  
minimum value in a given range  
of array indexes. The following  
are parameters for this function.  
 
    st --> Pointer to segment tree  
    index --> Index of current node in the  
        segment tree. Initially 0 is  
        passed as root is always at index 0  
    ss & se --> Starting and ending indexes  
                of the segment represented  
                by current node, i.e., st[index]  
    qs & qe --> Starting and ending indexes of query range """"""
defRMQUtil( st, ss, se, qs, qe, index) : 
 
    # If segment of this node is a part  
    # of given range, then return  
    # the min of the segment  
    if(qs <=ss andqe >=se) : 
        returnst[index];  
 
    # If segment of this node  
    # is outside the given range  
    if(se < qs orss > qe) : 
        returnINT_MAX;  
 
    # If a part of this segment  
    # overlaps with the given range  
    mid =getMid(ss, se);  
    returnminVal(RMQUtil(st, ss, mid, qs,  
                          qe, 2*index +1),  
                  RMQUtil(st, mid +1, se, 
                          qs, qe, 2*index +2));  
 
# Return minimum of elements in range  
# from index qs (query start) to  
# qe (query end). It mainly uses RMQUtil()  
defRMQ( st, n, qs, qe) :  
 
    # Check for erroneous input values  
    if(qs < 0orqe > n -1orqs > qe) : 
     
        print(""Invalid Input"");  
        return-1;  
     
    returnRMQUtil(st, 0, n -1, qs, qe, 0);  
 
# A recursive function that constructs  
# Segment Tree for array[ss..se].  
# si is index of current node in segment tree st  
defconstructSTUtil(arr, ss, se, st, si) : 
 
    # If there is one element in array,  
    # store it in current node of  
    # segment tree and return  
    if(ss ==se) : 
 
        st[si] =arr[ss];  
        returnarr[ss];  
 
    # If there are more than one elements,  
    # then recur for left and right subtrees  
    # and store the minimum of two values in this node  
    mid =getMid(ss, se);  
    st[si] =minVal(constructSTUtil(arr, ss, mid, 
                                    st, si *2+1), 
                    constructSTUtil(arr, mid +1, se, 
                                    st, si *2+2));  
     
    returnst[si];  
 
""""""Function to construct segment tree  
from given array. This function allocates  
memory for segment tree and calls constructSTUtil() 
to fill the allocated memory """"""
defconstructST( arr, n) : 
 
    # Allocate memory for segment tree  
 
    # Height of segment tree  
    x =(int)(ceil(log2(n)));  
 
    # Maximum size of segment tree  
    max_size =2*(int)(2**x) -1;  
  
    st =[0] *(max_size);  
 
    # Fill the allocated memory st  
    constructSTUtil(arr, 0, n -1, st, 0);  
 
    # Return the constructed segment tree  
    returnst;  
 
# Driver Code 
if__name__ ==""__main__"":  
 
    arr =[1, 3, 2, 7, 9, 11];  
    n =len(arr);  
 
    # Build segment tree from given array  
    st =constructST(arr, n);  
 
    qs =1; # Starting index of query range  
    qe =5; # Ending index of query range  
 
    # Print minimum value in arr[qs..qe]  
    print(""Minimum of values in range ["", qs,  
          "","", qe, ""]"", ""is ="", RMQ(st, n, qs, qe));  
 
# This code is contributed by AnkitRai01  
",O(n),O(n)
"# Python3 program to show segment tree operations like 
# construction, query and update 
frommath importceil, log2;

# A utility function to get the
# middle index from corner indexes. 
defgetMid(s, e) :
    returns +(e -s) //2; 

"""""" A recursive function to get the sum of values 
    in the given range of the array. The following 
    are parameters for this function. 

    st --> Pointer to segment tree 
    si --> Index of current node in the segment tree. 
           Initially 0 is passed as root is always at index 0 
    ss & se --> Starting and ending indexes of the segment
                represented by current node, i.e., st[si] 
    qs & qe --> Starting and ending indexes of query range """"""
defgetSumUtil(st, ss, se, qs, qe, si) : 

    # If segment of this node is a part of given range, 
    # then return the sum of the segment 
    if(qs <=ss andqe >=se) :
        returnst[si]; 

    # If segment of this node is
    # outside the given range 
    if(se < qs orss > qe) :
        return0; 

    # If a part of this segment overlaps 
    # with the given range 
    mid =getMid(ss, se); 
    
    return(getSumUtil(st, ss, mid, qs, qe, 2*si +1) +
           getSumUtil(st, mid +1, se, qs, qe, 2*si +2)); 

"""""" A recursive function to update the nodes 
which have the given index in their range. 
The following are parameters st, si, ss and se 
are same as getSumUtil() 
i --> index of the element to be updated. 
      This index is in the input array. 
diff --> Value to be added to all nodes 
which have i in range """"""
defupdateValueUtil(st, ss, se, i, diff, si) : 

    # Base Case: If the input index lies 
    # outside the range of this segment 
    if(i < ss ori > se) :
        return; 

    # If the input index is in range of this node, 
    # then update the value of the node and its children 
    st[si] =st[si] +diff; 
    
    if(se !=ss) :
    
        mid =getMid(ss, se); 
        updateValueUtil(st, ss, mid, i, 
                        diff, 2*si +1); 
        updateValueUtil(st, mid +1, se, i, 
                         diff, 2*si +2); 

# The function to update a value in input array 
# and segment tree. It uses updateValueUtil() 
# to update the value in segment tree 
defupdateValue(arr, st, n, i, new_val) : 

    # Check for erroneous input index 
    if(i < 0ori > n -1) :
        
        print(""Invalid Input"", end =""""); 
        return; 

    # Get the difference between 
    # new value and old value 
    diff =new_val -arr[i]; 

    # Update the value in array 
    arr[i] =new_val; 

    # Update the values of nodes in segment tree 
    updateValueUtil(st, 0, n -1, i, diff, 0); 

# Return sum of elements in range from 
# index qs (query start) to qe (query end).
# It mainly uses getSumUtil() 
defgetSum(st, n, qs, qe) : 

    # Check for erroneous input values 
    if(qs < 0orqe > n -1orqs > qe) :

        print(""Invalid Input"", end =""""); 
        return-1; 
    
    returngetSumUtil(st, 0, n -1, qs, qe, 0); 

# A recursive function that constructs 
# Segment Tree for array[ss..se]. 
# si is index of current node in segment tree st 
defconstructSTUtil(arr, ss, se, st, si) : 

    # If there is one element in array, 
    # store it in current node of 
    # segment tree and return 
    if(ss ==se) :
    
        st[si] =arr[ss]; 
        returnarr[ss]; 
    
    # If there are more than one elements, 
    # then recur for left and right subtrees 
    # and store the sum of values in this node 
    mid =getMid(ss, se); 
    
    st[si] =(constructSTUtil(arr, ss, mid, st, si *2+1) +
             constructSTUtil(arr, mid +1, se, st, si *2+2)); 
    
    returnst[si]; 

"""""" Function to construct segment tree 
from given array. This function allocates memory
for segment tree and calls constructSTUtil() to 
fill the allocated memory """"""
defconstructST(arr, n) : 

    # Allocate memory for the segment tree 

    # Height of segment tree 
    x =(int)(ceil(log2(n))); 

    # Maximum size of segment tree 
    max_size =2*(int)(2**x) -1;
    
    # Allocate memory
    st =[0] *max_size; 

    # Fill the allocated memory st 
    constructSTUtil(arr, 0, n -1, st, 0); 

    # Return the constructed segment tree 
    returnst; 

# Driver Code
if__name__ ==""__main__"": 

    arr =[1, 3, 5, 7, 9, 11]; 
    n =len(arr); 

    # Build segment tree from given array 
    st =constructST(arr, n); 

    # Print sum of values in array from index 1 to 3 
    print(""Sum of values in given range = "",
                       getSum(st, n, 1, 3)); 

    # Update: set arr[1] = 10 and update 
    # corresponding segment tree nodes 
    updateValue(arr, st, n, 1, 10); 

    # Find sum after the value is updated 
    print(""Updated sum of values in given range = "",
                     getSum(st, n, 1, 3), end =""""); 
    
# This code is contributed by AnkitRai01
",O(N*log(N)),O(N*log(N))
"classSegmentTree:
    def__init__(self, array):
        self.size =len(array)
        self.tree =[0] *(4*self.size)
        self.build_tree(array, 0, 0, self.size -1)

    defbuild_tree(self, array, tree_index, left, right):
        ifleft ==right:
            self.tree[tree_index] =array[left]
            return
        mid =(left +right) //2
        self.build_tree(array, 2*tree_index +1, left, mid)
        self.build_tree(array, 2*tree_index +2, mid +1, right)
        self.tree[tree_index] =min(self.tree[2*tree_index +1], self.tree[2*tree_index +2])

    defquery(self, tree_index, left, right, query_left, query_right):
        ifquery_left <=left andright <=query_right:
            returnself.tree[tree_index]
        mid =(left +right) //2
        min_value =float('inf')
        ifquery_left <=mid:
            min_value =min(min_value, self.query(2*tree_index +1, left, mid, query_left, query_right))
        ifquery_right > mid:
            min_value =min(min_value, self.query(2*tree_index +2, mid +1, right, query_left, query_right))
        returnmin_value

    defquery_range(self, left, right):
        returnself.query(0, 0, self.size -1, left, right)


if__name__ =='__main__':
    array =[1, 3, 2, 5, 4, 6]
    st =SegmentTree(array)
    print(st.query_range(1, 5)) # 2
",O(N*log(N),O(4n)
"# Python program to print all 
# primes smaller than or equal to 
# n using Sieve of Eratosthenes 
 
 
defSieveOfEratosthenes(n): 
 
    # Create a boolean array 
    # ""prime[0..n]"" and initialize 
    #  all entries it as true. 
    # A value in prime[i] will 
    # finally be false if i is 
    # Not a prime, else true. 
    prime =[Truefori inrange(n+1)] 
    p =2
    while(p *p <=n): 
 
        # If prime[p] is not 
        # changed, then it is a prime 
        if(prime[p] ==True): 
 
            # Update all multiples of p 
            fori inrange(p *p, n+1, p): 
                prime[i] =False
        p +=1
 
    # Print all prime numbers 
    forp inrange(2, n+1): 
        ifprime[p]: 
            print(p) 
 
 
# Driver code 
if__name__ =='__main__': 
    n =20
    print(""Following are the prime numbers smaller""), 
    print(""than or equal to"", n) 
    SieveOfEratosthenes(n) 
",O(n*log(log(n))),O(n)
"# Python program for the above approach 
Primes =[0] *500001
defSieveOfEratosthenes(n) : 
     
    Primes[0] =1
    i =3
    while(i*i <=n) :  
        if(Primes[i //2] ==0) : 
            forj inrange(3*i, n+1, 2*i) :  
                Primes[j //2] =1
                 
        i +=2
         
# Driver Code 
if__name__ ==""__main__"": 
 
    n =100
    SieveOfEratosthenes(n) 
    fori inrange(1, n+1) : 
        if(i ==2) : 
            print( i, end ="" "") 
        elif(i %2==1andPrimes[i //2] ==0) : 
            print( i, end ="" "") 
     
    # This code is contributed by code_hunt.
",O(n*log(log(n))),O(n)
"# Python3 program for the above approach

# Method to find the maximum for each
# and every contiguous subarray
# of size K

defprintMax(arr, N, K):
    max=0

    fori inrange(N -K +1):
        max=arr[i]
        forj inrange(1, K):
            ifarr[i +j] > max:
                max=arr[i +j]
        print(str(max) +"" "", end="""")


# Driver's code
if__name__ ==""__main__"":
    arr =[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
    N =len(arr)
    K =3
    
    # Function call
    printMax(arr, N, K)

# This code is contributed by Shiv Shankar
",O(N * K),O(1)
